# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Sep  8 14:21:51 2020
#
# COLUMN toi:            TESS Object of Interest
# COLUMN toipfx:         TESS Object of Interest Prefix
# COLUMN tid:            TESS Input Catalog ID
# COLUMN ctoi_alias:     Community TESS Object of Interest Alias
# COLUMN pl_pnum:        Pipeline Signal ID
# COLUMN tfopwg_disp:    TFOPWG Dispostion (CP | FP | KP | PC)
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN raerr1:         RA Upper Unc
# COLUMN raerr2:         RA Lower Unc
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN decerr1:        Dec Upper Unc
# COLUMN decerr2:        Dec Lower Unc
# COLUMN st_pmra:        PMRA [mas/yr]
# COLUMN st_pmraerr1:    PMRA Upper Unc [mas/yr]
# COLUMN st_pmraerr2:    PMRA Lower Unc [mas/yr]
# COLUMN st_pmralim:     PMRA Limit Flag
# COLUMN st_pmrasymerr:  PMRA Symmetric Error Flag
# COLUMN st_pmdec:       PMDec [mas/yr]
# COLUMN st_pmdecerr1:   PMDec Upper Unc [mas/yr]
# COLUMN st_pmdecerr2:   PMDec Lower Unc [mas/yr]
# COLUMN st_pmdeclim:    PMDec Limit Flag
# COLUMN st_pmdecsymerr: PMDec Symmetric Error Flag
# COLUMN pl_tranmid:     Planet Transit Midpoint Value [BJD]
# COLUMN pl_tranmiderr1: Planet Transit Midpoint Upper Unc [BJD]
# COLUMN pl_tranmiderr2: Planit Transit Midpoint Lower Unc [BJD]
# COLUMN pl_tranmidlim:  Planet Transit Midpoint Limit Flag
# COLUMN pl_tranmidsymerr: Planet Transit Midpoint Symmetric Error Flag
# COLUMN pl_orbper:      Planet Orbital Period Value [days]
# COLUMN pl_orbpererr1:  Planet Orbital Period Upper Unc [days]
# COLUMN pl_orbpererr2:  Planet Orbital Period Lower Unc [days]
# COLUMN pl_orbperlim:   Planet Orbital Period Limit Flag
# COLUMN pl_orbpersymerr: Planet Orbital Period Symmetric Error Flag
# COLUMN pl_trandurh:    Planet Transit Duration Value [hours]
# COLUMN pl_trandurherr1: Planet Transit Duration Upper Unc [hours]
# COLUMN pl_trandurherr2: Planet Transit Duration Lower Unc [hours]
# COLUMN pl_trandurhlim: Planet Transit Duration Limit Flag
# COLUMN pl_trandurhsymerr: Planet Transit Duration Symmetric Error Flag
# COLUMN pl_trandep:     Planet Transit Depth Value [ppm]
# COLUMN pl_trandeperr1: Planet Transit Depth Upper Unc [ppm]
# COLUMN pl_trandeperr2: Planet Transit Depth Lower Unc [ppm]
# COLUMN pl_trandeplim:  Planet Transit Depth Limit Flag
# COLUMN pl_trandepsymerr: Planet Transit Depth Symmetric Error Flag
# COLUMN pl_rade:        Planet Radius Value [R_Earth]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc [R_Earth]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc [R_Earth]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_radesymerr:  Planet Radius Symmetric Error Flag
# COLUMN pl_insol:       Planet Insolation Value [Earth flux]
# COLUMN pl_insolerr1:   Planet Insolation Upper Unc [Earth flux]
# COLUMN pl_insolerr2:   Planet Insolation Lower Unc [Earth flux]
# COLUMN pl_insollim:    Planet Insolation Limit Flag
# COLUMN pl_insolsymerr: Planet Insolation Symmetric Error Flag
# COLUMN pl_eqt:         Planet Equilibrium Temperature Value [K]
# COLUMN pl_eqterr1:     Planet Equilibrium Temperature Upper Unc [K]
# COLUMN pl_eqterr2:     Planet Equilibrium Temperature Lower Unc [K]
# COLUMN pl_eqtlim:      Planet Equilibrium Temperature Limit Flag
# COLUMN pl_eqtsymerr:   Planet Equilibrium Temperature Symmetric Error Flag
# COLUMN st_tmag:        TESS Magnitude
# COLUMN st_tmagerr1:    TESS Magnitude Upper Unc
# COLUMN st_tmagerr2:    TESS Magnitude Lower Unc
# COLUMN st_tmaglim:     TESS Magnitude Limit Flag
# COLUMN st_tmagsymerr:  TESS Magnitude Symmetric Error Flag
# COLUMN st_dist:        Stellar Distance [pc]
# COLUMN st_disterr1:    Stellar Distance Upper Unc [pc]
# COLUMN st_disterr2:    Stellar Distance Lower Unc [pc]
# COLUMN st_distlim:     Stellar Distance Limit Flag
# COLUMN st_distsymerr:  Stellar Distance Symmetric Error Flag
# COLUMN st_teff:        Stellar Effective Temperature Value [K]
# COLUMN st_tefferr1:    Stellar Effective Termperature Upper Unc [K]
# COLUMN st_tefferr2:    Stellar Effecitve Temperature Lower Unc [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_teffsymerr:  Stellar Effective Temperature Smmetric Error Flag
# COLUMN st_logg:        Stellar log(g) Value [cm/s**2]
# COLUMN st_loggerr1:    Stellar log(g) Upper Unc [cm/s**]
# COLUMN st_loggerr2:    Stellar log(g) Lower Unc [cm/s**2]
# COLUMN st_logglim:     Stellar log(g) Limit Flag
# COLUMN st_loggsymerr:  Stellar log(g) Symmetric Error Flag
# COLUMN st_rad:         Stellar Radius Value [R_Sun]
# COLUMN st_raderr1:     Stellar Radius Upper Unc [R_Sun]
# COLUMN st_raderr2:     Stellar Radius Lower Unc [R_Sun]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_radsymerr:   Stellar Radius Symmetric Error Flag
# COLUMN toi_created:    TOI Created Date
# COLUMN rowupdate:      Date Modified
#
rowid,toi,toipfx,tid,ctoi_alias,pl_pnum,tfopwg_disp,rastr,ra,raerr1,raerr2,decstr,dec,decerr1,decerr2,st_pmra,st_pmraerr1,st_pmraerr2,st_pmralim,st_pmrasymerr,st_pmdec,st_pmdecerr1,st_pmdecerr2,st_pmdeclim,st_pmdecsymerr,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_tranmidsymerr,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbpersymerr,pl_trandurh,pl_trandurherr1,pl_trandurherr2,pl_trandurhlim,pl_trandurhsymerr,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_trandepsymerr,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radesymerr,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_insolsymerr,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_eqtsymerr,st_tmag,st_tmagerr1,st_tmagerr2,st_tmaglim,st_tmagsymerr,st_dist,st_disterr1,st_disterr2,st_distlim,st_distsymerr,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_teffsymerr,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_loggsymerr,st_rad,st_raderr1,st_raderr2,st_radlim,st_radsymerr,toi_created,rowupdate
656,157.01,157,140691463,140691463.01,1,,04h54m48.35s,73.7014400,,,-76d40m50.18s,-76.6806060,,,11.7120000,0.035,0.035,0,1,-18.9220000,0.050,0.050,0,1,2458326.5457800,0.000360,0.000360,0,1,2.0846100,0.0000100,0.0000100,0,1,1.8350000,0.1220000,0.1220000,0,1,12750.0000000,2.6476800,2.6476800,0,1,12.8739000,0.7025720,0.7025720,0,1,629.6940000,,,,,1395.0000000,,,,,12.0166000,0.006,0.006,0,1,355.6830000,2.8260000,2.8260000,0,1,5638.0000000,133.9000000,133.9000000,0,1,4.3500000,0.0800000,0.0800000,0,1,1.1100000,0.0600000,0.0600000,0,1,2018-09-05 18:34:59,2020-05-20 16:00:02
657,1570.01,1570,285674856,285674856.01,1,,03h32m47.11s,53.1962980,,,+51d53m04.21s,51.8845020,,,1.1260000,0.083,0.083,0,1,-14.8440000,0.068,0.068,0,1,2458790.8103800,0.013270,0.013270,0,1,1.7462600,0.0016300,0.0016300,0,1,3.8800000,0.6080000,0.6080000,0,1,1110.0000000,4.3667000,4.3667000,0,1,5.6278600,0.4485200,0.4485200,0,1,17804.9000000,,,,,3218.0000000,,,,,9.4883000,0.012,0.012,0,1,294.1230000,3.1430000,3.1430000,0,1,8348.0000000,154.7000000,154.7000000,0,1,4.2400000,0.0700000,0.0700000,0,1,1.8000000,0.0600000,0.0600000,0,1,2019-12-19 20:58:21,2020-05-20 16:00:02
658,1571.01,1571,285677945,285677945.01,1,FP,03h32m23.75s,53.0989730,,,+50d29m56.54s,50.4990400,,,-0.0610000,0.088,0.088,0,1,2.2510000,0.077,0.077,0,1,2458791.5610350,0.005580,0.005580,0,1,1.2427000,0.0004900,0.0004900,0,1,1.5630000,0.3150000,0.3150000,0,1,663.7449950,2.6902300,2.6902300,0,1,6.0527100,0.4618730,0.4618730,0,1,1263.3399660,,,,,1660.0000000,,,,,10.2353000,0.029,0.029,0,1,317.9680000,4.8455000,4.8455000,0,1,5624.7998050,119.0000000,119.0000000,0,1,3.9200000,0.1000000,0.1000000,0,1,2.1400000,0.0900000,0.0900000,0,1,2019-12-19 20:58:21,2020-03-04 12:58:47
659,1572.01,1572,292321872,292321872.01,1,FP,02h07m36.53s,31.9021890,,,+45d30m00.56s,45.5001560,,,-3.0460000,0.084,0.084,0,1,-3.8200000,0.091,0.091,0,1,2458794.1522220,0.003540,0.003540,0,1,8.6669800,0.0026100,0.0026100,0,1,6.1040000,0.5070000,0.5070000,0,1,9854.2998050,1035.3000490,1035.3000490,0,1,27.4804000,9.0931800,9.0931800,0,1,2647.3601070,,,,,1998.0000000,,,,,10.4562000,0.007,0.007,0,1,505.3310000,16.1410000,16.1410000,0,1,6322.2001950,217.0000000,217.0000000,0,1,3.7700000,0.0900000,0.0900000,0,1,2.5200000,0.1700000,0.1700000,0,1,2019-12-19 20:58:21,2020-03-04 12:58:47
660,1573.01,1573,302773669,302773669.01,1,KP,02h49m44.79s,42.4366120,,,+71d45m11.12s,71.7530880,,,90.9820000,0.064,0.064,0,1,-33.1970000,0.062,0.062,0,1,2458809.0706790,0.000369,0.000369,0,1,,,,0,1,3.0915500,0.0360560,0.0360560,0,1,5751.5986330,70.3754350,70.3754350,0,1,12.2417050,0.6406340,0.6406340,0,1,205.9764710,,,,,966.2158200,,,,,7.6353000,0.006,0.006,0,1,78.0863000,0.2390000,0.2390000,0,1,5925.0000000,89.5000000,89.5000000,0,1,4.1000000,0.0800000,0.0800000,0,1,1.5510600,0.0787190,0.0787190,0,1,2019-12-19 20:58:21,2020-01-14 16:00:02
661,1574.01,1574,307111282,307111282.01,1,FP,00h58m33.63s,14.6401150,,,+50d56m11.14s,50.9364280,,,84.4270000,0.079,0.079,0,1,51.4220000,0.065,0.065,0,1,2458804.6005700,,,0,1,,,,0,1,9.5970000,0.4010000,0.4010000,0,1,7440.0000000,2.2145900,2.2145900,0,1,11.3282000,0.5656440,0.5656440,0,1,,,,,,,,,,,10.2978000,0.006,0.006,0,1,186.6650000,1.2370000,1.2370000,0,1,5791.0000000,150.2000000,150.2000000,0,1,4.2900000,0.0800000,0.0800000,0,1,1.2100000,0.0600000,0.0600000,0,1,2019-12-19 20:58:21,2020-05-20 16:00:02
662,1575.01,1575,316254876,316254876.01,1,FP,03h27m57.32s,51.9888390,,,+54d51m56.22s,54.8656170,,,22.7790000,0.072,0.072,0,1,-16.1600000,0.074,0.074,0,1,2458793.1745610,0.004120,0.004120,0,1,2.4609400,0.0007900,0.0007900,0,1,3.0910000,0.2530000,0.2530000,0,1,5508.8701170,647.4689940,647.4689940,0,1,13.5975000,4.6637900,4.6637900,0,1,7399.9599610,,,,,2583.0000000,,,,,10.3775000,0.006,0.006,0,1,248.5630000,2.3590000,2.3590000,0,1,5429.5000000,28.2999990,28.2999990,0,1,4.0100000,0.1000000,0.1000000,0,1,1.6700000,0.0200000,0.0200000,0,1,2019-12-19 20:58:21,2020-03-04 12:58:47
663,1576.01,1576,327011842,327011842.01,1,,01h33m52.05s,23.4668930,,,+45d00m37.18s,45.0103290,,,18.5960000,0.094,0.094,0,1,1.1040000,0.090,0.090,0,1,2458765.0850600,0.004270,0.004270,0,1,0.7842400,0.0001100,0.0001100,0,1,1.3010000,0.2210000,0.2210000,0,1,410.0000000,1.2310800,1.2310800,0,1,11.2559000,,,0,1,1301.3900000,,,,,1673.0000000,,,,,9.7828000,0.007,0.007,0,1,493.7020000,14.8420000,14.8420000,0,1,4975.0000000,122.0000000,122.0000000,0,1,,,,0,1,5.3900000,,,0,1,2019-12-19 20:58:21,2020-05-20 16:00:02
664,1577.01,1577,332154944,332154944.01,1,FP,01h17m06.87s,19.2786360,,,+57d30m51.24s,57.5142320,,,63.0250000,0.038,0.038,0,1,-25.5330000,0.045,0.045,0,1,2458791.3688200,0.000960,0.000960,0,1,0.9983700,0.0000700,0.0000700,0,1,1.6320000,0.0840000,0.0840000,0,1,2730.0000000,0.7434090,0.7434090,0,1,5.2948900,0.2681960,0.2681960,0,1,2465.9600000,,,,,1963.0000000,,,,,9.6002700,0.006,0.006,0,1,143.5750000,0.6360000,0.6360000,0,1,6082.0000000,141.4000000,141.4000000,0,1,4.3900000,0.0800000,0.0800000,0,1,1.1300000,0.0500000,0.0500000,0,1,2019-12-19 20:58:21,2020-08-05 12:00:27
665,1578.01,1578,348135793,348135793.01,1,FP,02h17m30.47s,34.3769650,,,+56d25m17.36s,56.4214900,,,2.6490000,0.070,0.070,0,1,-5.5120000,0.079,0.079,0,1,2458791.5867800,0.001620,0.001620,0,1,1.9774100,0.0002400,0.0002400,0,1,6.5490000,0.0760000,0.0760000,0,1,5470.0000000,2.9817600,2.9817600,0,1,17.5768000,0.8592080,0.8592080,0,1,46143.6000000,,,,,4083.0000000,,,,,10.1042000,0.006,0.006,0,1,341.5140000,4.8470000,4.8470000,0,1,6742.0000000,156.0000000,156.0000000,0,1,3.9500000,0.0900000,0.0900000,0,1,2.1100000,0.0900000,0.0900000,0,1,2019-12-19 20:58:21,2020-08-18 12:00:22
666,1579.01,1579,354400186,354400186.01,1,FP,01h50m57.13s,27.7380260,,,+48d21m08.34s,48.3523160,,,5.0200000,0.119,0.119,0,1,-6.9880000,0.174,0.174,0,1,2458794.2817380,0.000840,0.000840,0,1,9.0776800,0.0005600,0.0005600,0,1,2.7800000,0.1010000,0.1010000,0,1,19171.9003910,573.1010130,573.1010130,0,1,,,,0,1,1012.1199950,,,,,1571.0000000,,,,,9.7745000,0.009,0.009,0,1,524.7550000,26.8925000,26.8925000,0,1,8393.7001950,405.5000000,405.5000000,0,1,4.0100000,0.0800000,0.0800000,0,1,,,,0,1,2019-12-19 20:58:21,2020-03-04 12:58:47
667,158.01,158,403136413,403136413.01,1,FP,22h14m18.89s,333.5787180,,,-55d22m44.33s,-55.3789810,,,-8.3120000,0.043,0.043,0,1,4.1530000,0.053,0.053,0,1,2458326.3780520,0.002190,0.002190,0,1,2.5126600,0.0004500,0.0004500,0,1,2.4110000,0.1730000,0.1730000,0,1,2790.0100100,2.7100000,2.7100000,0,1,13.3617000,0.7318670,0.7318670,0,1,793.4710080,,,,,1478.0000000,,,,,11.2314000,0.006,0.006,0,1,601.3670000,11.5590000,11.5590000,0,1,5988.0000000,137.8000030,137.8000030,0,1,4.0800000,0.1600000,0.1600000,0,1,2.3000000,0.1000000,0.1000000,0,1,2018-09-05 18:34:59,2020-05-30 08:02:07
668,1580.01,1580,354469661,354469661.01,1,KP,01h53m07.82s,28.2825720,,,+52d03m14.12s,52.0539210,,,26.5110000,0.106,0.106,0,1,6.1650000,0.075,0.075,0,1,2458792.4707800,0.000620,0.000620,0,1,4.7953900,0.0002300,0.0002300,0,1,4.8340000,0.0880000,0.0880000,0,1,6650.0000000,0.4263690,0.4263690,0,1,18.0648000,0.8184190,0.8184190,0,1,1025.7000000,,,,,1576.0000000,,,,,9.1792500,0.006,0.006,0,1,233.2200000,2.6570000,2.6570000,0,1,6333.0000000,152.2000000,152.2000000,0,1,3.8600000,0.0800000,0.0800000,0,1,2.1800000,0.1000000,0.1000000,0,1,2019-12-19 20:58:21,2020-05-20 16:00:02
669,1581.01,1581,370759867,370759867.01,1,,01h52m39.25s,28.1635500,,,+55d11m09.5s,55.1859710,,,44.5170000,0.084,0.084,0,1,-14.6260000,0.090,0.090,0,1,2458810.3067100,,,0,1,,,,0,1,4.2300000,0.2530000,0.2530000,0,1,8410.0000000,2787.4400000,2787.4400000,0,1,18.6201000,5.6728200,5.6728200,0,1,,,,,,,,,,,9.7697800,0.006,0.006,0,1,124.5470000,0.6310000,0.6310000,0,1,5865.0000000,139.6000000,139.6000000,0,1,4.4900000,0.0800000,0.0800000,0,1,0.9700000,0.0500000,0.0500000,0,1,2019-12-19 20:58:21,2020-05-20 16:00:02
670,1582.01,1582,374400599,374400599.01,1,FP,02h18m47.49s,34.6978900,,,+64d21m22.98s,64.3563820,,,-4.5880000,0.033,0.033,0,1,-2.9180000,0.051,0.051,0,1,2458791.8149410,0.002120,0.002120,0,1,1.8925300,0.0002700,0.0002700,0,1,3.4510000,0.0890000,0.0890000,0,1,14119.9003910,942.2429810,942.2429810,0,1,26.7733000,6.9559200,6.9559200,0,1,28527.4003910,,,,,3620.0000000,,,,,10.0188000,0.006,0.006,0,1,386.1810000,4.9215000,4.9215000,0,1,6904.2998050,96.0999980,96.0999980,0,1,4.0500000,0.0800000,0.0800000,0,1,2.0500000,0.0600000,0.0600000,0,1,2019-12-19 20:58:21,2020-03-04 12:58:47
671,1583.01,1583,403256331,403256331.01,1,,00h16m59.84s,4.2493360,,,+58d40m45.31s,58.6792530,,,0.6540000,0.038,0.038,0,1,-2.8560000,0.036,0.036,0,1,2458765.8212300,0.006420,0.006420,0,1,3.7718800,0.0007600,0.0007600,0,1,2.9230000,0.4590000,0.4590000,0,1,450.0000000,1.0253600,1.0253600,0,1,10.0329000,0.6162910,0.6162910,0,1,5181.6500000,,,,,2363.0000000,,,,,9.5425000,0.013,0.013,0,1,867.2960000,21.8335000,21.8335000,0,1,10097.0000000,249.5000000,249.5000000,0,1,3.5200000,0.0700000,0.0700000,0,1,4.6200000,0.1600000,0.1600000,0,1,2019-12-19 20:58:21,2020-05-20 16:00:02
672,1584.01,1584,418987806,418987806.01,1,,00h26m04.66s,6.5194250,,,+63d19m09.88s,63.3194120,,,-13.0000000,0.041,0.041,0,1,-0.3080000,0.038,0.038,0,1,2458791.0627600,0.002730,0.002730,0,1,0.8865400,0.0001900,0.0001900,0,1,1.6790000,0.0370000,0.0370000,0,1,870.0000000,259.7760000,259.7760000,0,1,24.9348000,7.6399200,7.6399200,0,1,64431.5000000,,,,,4438.0000000,,,,,9.2790400,0.006,0.006,0,1,479.6590000,6.5305000,6.5305000,0,1,6919.0000000,178.4000000,178.4000000,0,1,3.3600000,0.0900000,0.0900000,0,1,4.2700000,0.1700000,0.1700000,0,1,2019-12-19 20:58:21,2020-05-20 16:00:02
673,1585.01,1585,444415148,444415148.01,1,,00h25m14.14s,6.3089080,,,+62d32m35.21s,62.5431150,,,-4.2090000,0.044,0.044,0,1,-3.5400000,0.040,0.040,0,1,2458764.8746000,0.004200,0.004200,0,1,1.8364100,0.0003200,0.0003200,0,1,2.2220000,0.2560000,0.2560000,0,1,470.0000000,0.6875920,0.6875920,0,1,10.6176000,,,0,1,9124.8000000,,,,,2722.0000000,,,,,8.9676000,0.012,0.012,0,1,670.8850000,14.0340000,14.0340000,0,1,9542.0000000,123.0000000,123.0000000,0,1,,,,0,1,5.0300000,,,0,1,2019-12-19 20:58:21,2020-05-20 16:00:02
674,1586.01,1586,445144327,445144327.01,1,,00h44m56.2s,11.2341540,,,+58d42m43.41s,58.7120580,,,1.2620000,0.042,0.042,0,1,-4.7670000,0.042,0.042,0,1,2458765.6788900,0.010830,0.010830,0,1,1.8079400,0.0006200,0.0006200,0,1,2.1700000,0.6060000,0.6060000,0,1,540.0000000,3.4526000,3.4526000,0,1,20.9267000,,,0,1,550.0410000,,,,,1349.0000000,,,,,10.4396000,0.009,0.009,0,1,800.4640000,19.2440000,19.2440000,0,1,4628.0000000,122.0000000,122.0000000,0,1,,,,0,1,8.6100000,,,0,1,2019-12-19 20:58:21,2020-05-20 16:00:02
675,1587.01,1587,458914949,458914949.01,1,,03h13m41.62s,48.4234220,,,+61d54m28.19s,61.9078310,,,14.0790000,0.048,0.048,0,1,-12.1400000,0.060,0.060,0,1,2458796.5972900,0.006430,0.006430,0,1,6.2682100,0.0039300,0.0039300,0,1,4.4760000,0.5890000,0.5890000,0,1,1255.5699460,2.1077400,2.1077400,0,1,9.7159400,0.5152890,0.5152890,0,1,1074.2600100,,,,,1594.0000000,,,,,10.2543000,0.022,0.022,0,1,563.9970000,11.6270000,11.6270000,0,1,7275.0000000,123.0000000,123.0000000,0,1,3.9100000,0.0800000,0.0800000,0,1,2.4900000,0.0800000,0.0800000,0,1,2019-12-19 20:58:21,2020-01-14 16:00:02
676,1588.01,1588,50120414,50120414.01,1,,02h39m33.86s,39.8911020,,,+62d25m59.9s,62.4333060,,,-3.2440000,0.037,0.037,0,1,-1.1350000,0.050,0.050,0,1,2458793.4846300,0.003420,0.003420,0,1,3.5804000,0.0009400,0.0009400,0,1,3.5980000,0.5560000,0.5560000,0,1,920.0000000,0.9125360,0.9125360,0,1,18.2680000,,,0,1,6973.8100000,,,,,2545.0000000,,,,,8.9510000,0.023,0.023,0,1,742.4410000,16.1280000,16.1280000,0,1,9503.0000000,123.0000000,123.0000000,0,1,,,,0,1,5.9600000,,,0,1,2019-12-19 20:58:21,2020-05-20 16:00:02
677,1589.01,1589,52041724,52041724.01,1,FP,00h56m28.68s,14.1194860,,,+65d40m44.54s,65.6790380,,,-0.4930000,0.127,0.127,0,1,11.1410000,0.124,0.124,0,1,2458800.8067800,0.000530,0.000530,0,1,,,,0,1,4.0260000,0.2510000,0.2510000,0,1,12650.0000000,2.0469200,2.0469200,0,1,21.6371000,0.9984040,0.9984040,0,1,,,,,,,,,,,9.8754200,0.006,0.006,0,1,278.8290000,7.1760000,7.1760000,0,1,7455.0000000,409.9000000,409.9000000,0,1,4.1700000,0.1000000,0.1000000,0,1,1.7800000,0.0800000,0.0800000,0,1,2019-12-19 20:58:21,2020-05-20 16:00:02
678,159.01,159,394657039,394657039.01,1,,03h27m07.74s,51.7822680,,,-78d32m59.39s,-78.5498310,,,11.6160000,0.057,0.057,0,1,1.9590000,0.043,0.043,0,1,2458328.6371400,0.000370,0.000370,0,1,3.7628500,0.0000100,0.0000100,0,1,4.1550000,0.3610000,0.3610000,0,1,10360.0000000,0.5727250,0.5727250,0,1,17.9652000,0.8222660,0.8222660,0,1,2498.5100000,,,,,1969.0000000,,,,,10.5132000,0.006,0.006,0,1,347.5930000,2.5190000,2.5190000,0,1,6979.2000000,136.5000000,136.5000000,0,1,4.2200000,0.0900000,0.0900000,0,1,1.5900000,0.0700000,0.0700000,0,1,2018-09-05 18:34:59,2020-05-20 16:00:02
679,1590.01,1590,71854745,71854745.01,1,FP,01h45m11.86s,26.2994230,,,+54d34m06.38s,54.5684400,,,0.5680000,0.142,0.142,0,1,-3.8370000,0.118,0.118,0,1,2458793.5101320,0.006910,0.006910,0,1,3.1031500,0.0020800,0.0020800,0,1,3.5350000,0.6740000,0.6740000,0,1,1760.0699460,212.6880040,212.6880040,0,1,,,,0,1,50910.6992190,,,,,4184.0000000,,,,,10.2146000,0.010,0.010,0,1,749.1270000,37.1500000,37.1500000,0,1,9050.2998050,228.3999940,228.3999940,0,1,3.9600000,0.0800000,0.0800000,0,1,,,,0,1,2019-12-19 20:58:21,2020-03-04 12:58:47
680,1591.01,1591,82010657,82010657.01,1,,03h15m00.76s,48.7531580,,,+60d14m17.5s,60.2381950,,,26.7020000,0.049,0.049,0,1,-8.4080000,0.065,0.065,0,1,2458807.9369300,,,0,1,,,,0,1,8.0600000,1.2600000,1.2600000,0,1,3010.0000000,6.8352800,6.8352800,0,1,10.4319000,0.6125290,0.6125290,0,1,,,,,,,,,,,9.6480500,0.006,0.006,0,1,282.1000000,4.3160000,4.3160000,0,1,7519.0000000,236.8000000,236.8000000,0,1,4.2200000,0.0800000,0.0800000,0,1,1.7000000,0.0600000,0.0600000,0,1,2019-12-19 20:58:21,2020-05-20 16:00:02
681,1592.01,1592,186599508,186599508.01,1,,03h00m21.23s,45.0884700,,,+39d04m05.76s,39.0682660,,,93.0010000,0.101,0.101,0,1,-71.0200000,0.078,0.078,0,1,2458794.8963620,0.002295,0.002295,0,1,5.6318070,0.0012070,0.0012070,0,1,3.4553090,0.3835480,0.3835480,0,1,1186.1481930,81.2865300,81.2865300,0,1,4.8217690,1.5592830,1.5592830,0,1,474.4919130,,,,,1190.3562010,,,,,9.7663600,0.006,0.006,0,1,170.5920000,1.9870000,1.9870000,0,1,5669.8999020,133.8999940,133.8999940,0,1,4.1600000,0.0800000,0.0800000,0,1,1.3882600,0.0715830,0.0715830,0,1,2019-12-19 20:58:21,2020-03-25 12:00:24
682,1593.01,1593,192372961,192372961.01,1,,03h02m23.61s,45.5983720,,,+43d11m01.69s,43.1838020,,,10.6790000,0.074,0.074,0,1,-11.7410000,0.067,0.067,0,1,2458792.2964400,0.006170,0.006170,0,1,2.0631300,0.0009900,0.0009900,0,1,2.1570000,0.4850000,0.4850000,0,1,600.0000000,2.5662300,2.5662300,0,1,11.9118000,0.9880670,0.9880670,0,1,1866.3900000,,,,,1831.0000000,,,,,9.1222000,0.007,0.007,0,1,550.1830000,12.9980000,12.9980000,0,1,6716.5000000,99.8000000,99.8000000,0,1,3.2400000,0.0900000,0.0900000,0,1,4.7700000,0.2100000,0.2100000,0,1,2019-12-19 20:58:21,2020-05-20 16:00:02
683,1594.01,1594,201154493,201154493.01,1,,03h44m34.4s,56.1433320,,,+41d03m51.66s,41.0643510,,,2.1940000,0.104,0.104,0,1,-4.7240000,0.066,0.066,0,1,2458792.1989000,0.004080,0.004080,0,1,1.5123300,0.0005700,0.0005700,0,1,2.5900000,0.3670000,0.3670000,0,1,640.0000000,1.3345500,1.3345500,0,1,11.1245000,0.8198770,0.8198770,0,1,18303.0000000,,,,,3240.0000000,,,,,9.7479000,0.013,0.013,0,1,831.9070000,38.8525000,38.8525000,0,1,9447.0000000,218.6000000,218.6000000,0,1,3.5400000,0.0800000,0.0800000,0,1,4.3500000,0.2400000,0.2400000,0,1,2019-12-19 20:58:21,2020-05-20 16:00:02
684,1595.01,1595,385105624,385105624.01,1,FP,03h23m13.94s,50.8080980,,,+46d40m55.61s,46.6821130,,,15.5200000,0.071,0.071,0,1,-16.1300000,0.063,0.063,0,1,2458793.3745400,0.001390,0.001390,0,1,1.7490300,0.0002600,0.0002600,0,1,1.8510000,0.4850000,0.4850000,0,1,3390.0000000,10.9233000,10.9233000,0,1,9.1786800,1.0432100,1.0432100,0,1,2080.2800000,,,,,1881.0000000,,,,,10.4511000,0.006,0.006,0,1,295.4520000,3.2380000,3.2380000,0,1,6222.3000000,147.0000000,147.0000000,0,1,4.1500000,0.1100000,0.1100000,0,1,1.5300000,0.1500000,0.1500000,0,1,2019-12-19 20:58:21,2020-07-24 12:00:35
685,1596.01,1596,431899140,431899140.01,1,,03h44m53.41s,56.2225420,,,+45d30m25.88s,45.5071880,,,-0.8690000,0.123,0.123,0,1,-0.5760000,0.086,0.086,0,1,2458792.2058500,0.003810,0.003810,0,1,1.9765600,0.0007000,0.0007000,0,1,3.1020000,0.7580000,0.7580000,0,1,1120.0000000,4.8866100,4.8866100,0,1,13.6974000,1.2419900,1.2419900,0,1,24091.5000000,,,,,3470.0000000,,,,,10.0888000,0.020,0.020,0,1,710.9190000,26.4760000,26.4760000,0,1,7962.9000000,130.5000000,130.5000000,0,1,3.6000000,0.1000000,0.1000000,0,1,3.6200000,0.2300000,0.2300000,0,1,2019-12-19 20:58:21,2020-05-20 16:00:02
